Item ID,Name,Description,Tag 1,Tag 2,Tag 3
,Tennis,"Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court. The object of the game is to maneuver the ball in such a way that the opponent is not able to play a valid return. The player who is unable to return the ball will not gain a point, while the opposite player will.",,,
,Breakdancing,"Breaking, also called breakdancing or b-boying/b-girling, is an athletic style of street dance from the United States. Breakdancing is typically set to songs containing drum breaks, especially in hip-hop, funk, soul music and breakbeat music, although modern trends allow for much wider varieties of music along certain ranges of tempo and beat patterns.",,,
,Cheerleading,"Cheerleading is an activity in which the participants (called ""cheerleaders"") cheer for their team as a form of encouragement. It can range from chanting slogans to intense physical activity. It can be performed to motivate sports teams, to entertain the audience, or for competition. Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",,,
,Competitive dancing,"Competitive dance is a popular, widespread sport in which competitors perform dances in any of several permitted dance styles—such as acro, ballet, contemporary, jazz, hip-hop, lyrical, modern, musical theatre, tap, and improv—before a common group of judges.",,,
,Dancesport,"Dancesport is competitive ballroom dancing, as contrasted to social or exhibition dancing.",,,
,Freerunning,"Freerunning is a way of expression by interacting with various obstacles and environment. Freerunning may include flipping and spinning. These movements are usually adopted from other sports, such as gymnastics, tricking or breakdancing. Freerunners can create their own moves, flows and lines in different landscapes. It is all about becoming creative in an objective environment.",,,
,Gymnastics,"Gymnastics is a sport that includes physical exercises requiring balance, strength, flexibility, agility, coordination, and endurance. The movements involved in gymnastics contribute to the development of the arms, legs, shoulders, back, chest, and abdominal muscle groups.",,,
,Parkour,"Parkour is a training discipline using movement that developed from military obstacle course training. Practitioners, called tracers or traceurs, aim to get from one point to another in a complex environment, without assistive equipment and in the fastest and most efficient way possible.",,,
,Trampolining,"Trampolining or trampoline gymnastic is a recreational activity, acrobatic training tool as well as a competitive Olympic sport in which athletes perform acrobatics while bouncing on a trampoline. In competition, these can include simple jumps in the straight, pike, tuck, or straddle position to more complex combinations of forward and/or backward somersaults and twists. Scoring is based on the difficulty and on the total seconds spent in the air. Points are deducted for bad form and horizontal displacement from the center of the bed.",,,
,Archery,"Archery is the art, sport, practice, or skill of using a bow to shoot arrows.",,,
,Badminton,"Badminton is a racquet sport played using racquets to hit a shuttlecock across a net. Although it may be played with larger teams, the most common forms of the game are ""singles"" (with one player per side) and ""doubles"" (with two players per side).",,,
,Pickleball,"Pickleball is a paddleball sport (similar to a racquet sport) that combines elements of tennis, badminton, and table tennis.[2] Two or four players use solid paddles made of wood or composite materials to hit a perforated polymer ball, with 26-40 round holes, over a net. ",,,
,Table tennis,"Table tennis, also known as ping-pong and whiff-whaff, is a sport in which two or four players hit a lightweight ball, also known as the ping-pong ball, back and forth across a table using small rackets. The game takes place on a hard table divided by a net. Except for the initial serve, the rules are generally as follows: players must allow a ball played toward them to bounce one time on their side of the table, and must return it so that it bounces on the opposite side at least once. A point is scored when a player fails to return the ball within the rules.",,,
,Volleyball,Volleyball is a team sport in which two teams of six players are separated by a net. Each team tries to score points by grounding a ball on the other team's court under organized rules.,,,
,Beach volleyball,"Beach volleyball is a team sport played by two teams of two players on a sand court divided by a net. As in indoor volleyball, the objective of the game is to send the ball over the net and to ground it on the opponent's side of the court, and to prevent the same effort by the opponent. Each team is allowed up to three touches to return the ball across the net, and individual players may not touch the ball twice consecutively except after making a block touch (the block touch counting as one touch, leaving only two more touches before the ball must be hit over).",,,
,Basketball,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.048 m) high to a backboard at each end of the court) while preventing the opposing team from shooting through their own hoop.",,,
,Baseball,"Baseball is a bat-and-ball game played between two opposing teams who take turns batting and fielding. The game proceeds when a player on the fielding team, called the pitcher, throws a ball which a player on the batting team tries to hit with a bat. The objective of the offensive team (batting team) is to hit the ball into the field of play, allowing its players to run the bases, having them advance counter-clockwise around four bases to score what are called ""runs"". The objective of the defensive team (fielding team) is to prevent batters from becoming runners, and to prevent runners' advance around the bases.",,,
,Cricket,"Cricket is a bat-and-ball game played between two teams of eleven players on a field at the centre of which is a 20-metre (22-yard) pitch with a wicket at each end, each comprising two bails balanced on three stumps. The batting side scores runs by striking the ball bowled at the wicket with the bat, while the bowling and fielding side tries to prevent this and dismiss each batter (so they are ""out"").",,,
,Softball,"Softball is a game similar to baseball played with a larger ball (11 to 16 in. circumference) on a field that has base lengths of 60 feet, a pitcher's mound that ranges from 43–50 feet away from home plate, and a home run fence that is 220–300 feet away from home plate, depending on the type of softball being played.",,,
,Baton twirling,Baton twirling is an art involving the manipulation of a metal rod and the performer's body to a coordinated routine.,,,
,Skateboarding,"Skateboarding is an action sport that involves riding and performing tricks using a skateboard, as well as a recreational activity, an art form, an entertainment industry job, and a method of transportation.",,,
,Snowboarding,Snowboarding is a recreational activity and Winter Olympic and Paralympic sport that involves descending a snow-covered slope while standing on a snowboard attached to a rider's feet.,,,
,Surfing,"Surfing is a surface water pastime in which the wave rider, referred to as a surfer, rides on the forward part, or face, of a moving wave, which usually carries the surfer towards the shore.",,,
,Dodgeball,"Dodgeball is a team sport in which players on two teams try to throw balls and hit opponents, while avoiding being hit themselves. The objective of each team is to eliminate all members of the opposing team by hitting them with thrown balls, catching a ball thrown by an opponent, or inducing an opponent to commit a violation, such as stepping outside the court",,,
,Ultimate Frisbee,"Ultimate, also and originally known as ultimate Frisbee, is a low-contact team sport played with a flying disc (Frisbee).",,,
,Rock climbing,"Rock climbing is a sport in which participants climb up, down or across natural rock formations or artificial rock walls. The goal is to reach the summit of a formation or the endpoint of a usually pre-defined route without falling.",,,
,Bouldering,"Bouldering is a form of rock climbing that is performed on small rock formations or artificial rock walls without the use of ropes or harnesses. While bouldering can be done without any equipment, most climbers use climbing shoes to help secure footholds, chalk to keep their hands dry and to provide a firmer grip, and bouldering mats to prevent injuries from falls.",,,
,Free climbing,"Free climbing is a form of rock climbing in which the climber may use climbing equipment such as ropes and other means of climbing protection, but only to protect against injury during falls and not to assist progress. The climber makes progress by using physical ability to move over the rock via handholds and footholds.",,,
,Sport climbing,"Sport climbing is a form of rock climbing that may rely on permanent anchors fixed to the rock for protection, in which a rope that is attached to the climber is clipped into the anchors to arrest a fall, or that involves climbing short distances with a crash pad underneath as protection.",,,
,Speed climbing,"Speed climbing is a climbing discipline in which speed is the ultimate goal. Speed Climbing is done on rocks, walls and poles and is only recommended for highly skilled and experienced climbers.",,,
,Triathalon,"A triathlon is a multisport race with three continuous and sequential endurance races. While variations of the sport exist, the most common form includes swimming, cycling, and running over various distances.",,,
,Cycling (Sport),"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport.",,,
,Sumo,"Sumo (Japanese: ??, Hepburn: sum?, [s?mo?], lit. ""striking one another"")[1] is a form of competitive full-contact wrestling where a rikishi (wrestler) attempts to force his opponent out of a circular ring (dohy?) or into touching the ground with any body part other than the soles of his feet (usually by throwing, shoving or pushing him down).",,,
,Wrestling,"Wrestling is a combat sport involving grappling-type techniques such as clinch fighting, throws and takedowns, joint locks, pins and other grappling holds. ",,,
,Boxing,"Boxing is a combat sport in which two people, usually wearing protective gloves, throw punches at each other for a predetermined amount of time in a boxing ring.",,,
,Karate,"Karate is now predominantly a striking art using punching, kicking, knee strikes, elbow strikes and open-hand techniques such as knife-hands, spear-hands and palm-heel strikes.",,,
,Kickboxing,"Kickboxing is a stand-up combat sport based on kicking and punching, historically developed from karate mixed with boxing.",,,
,Mixed martial arts,"Mixed martial arts (MMA) sometimes referred to as cage fighting, is a full-contact combat sport based on striking, grappling and ground fighting, made up from various combat sports and martial arts from around the world.",,,
,Axe throwing,"Axe throwing is a sport started in 2006 in a backyard in which the competitor throws an axe at a target, attempting to hit the bulls eye as near as possible. Axe throwing is an event in most lumberjack competitions.",,,
,Fencing,"Fencing is a group of three related combat sports. There are three forms of modern fencing, each of which uses a different kind of weapon and has different rules; thus the sport itself is divided into three competitive scenes: foil, épée, and sabre. Most competitive fencers choose to specialize in one weapon only.",,,
,Kendo,"Kendo is a traditional Japanese martial art, which descended from swordsmanship (kenjutsu) and uses bamboo swords (shinai) and protective armour (b?gu).",,,
,Kung fu,"Chinese martial arts, often named under the umbrella terms kung fu , kuoshu or wushu, are several hundred fighting styles that have developed over the centuries in China.",,,
,Pool (cue sport),"Pool is a classification of cue sports played on a table with six pockets along the rails, into which balls are deposited.",,,
,Snooker,"Snooker is a cue sport that originated among British Army officers stationed in India in the second half of the 19th century. It is played on a rectangular table covered with a green cloth (or ""baize""), with pockets at each of the four corners and in the middle of each long side. Using a cue stick and 21 coloured balls, players must strike the white ball (or ""cue ball"") to pot or pocket the remaining balls in the correct sequence, accumulating points for each pot.",,,
,Fishing,Fishing is the activity of trying to catch fish. Fish are normally caught in the wild.,,,
,Fly fishing,"Fly fishing is an angling method that uses a light-weight lure—called an artificial fly—to catch fish. The fly is cast using a fly rod, reel, and specialized weighted line. The light weight requires casting techniques significantly different from other forms of casting.",,,
,Disc golf,"Disc golf is a flying disc sport in which players throw a disc at a target; it is played using rules similar to golf. It is usually played on a course with 9 or 18 holes. Players complete a hole by throwing a disc from a tee area toward a target, throwing again from where the previous throw landed, until the target is reached. ",,,
,Soccer,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal.",,,
,Golf,Golf is a club-and-ball sport in which players use various clubs to hit balls into a series of holes on a course in as few strokes as possible.,,,
,Minigolf,"Miniature golf, also known as minigolf, mini-putt, midget golf, crazy golf, or putt-putt, is an offshoot of the sport of golf focusing solely on the putting aspect of its parent game. The aim of the game is to score the lowest number of points. It is played on courses consisting of a series of holes (usually a multiple of 9) similar to its parent, but characterized by their short length (usually within 10 yards from tee to cup).",,,
,Juggling,,,,
,Parkour,"Parkour is a training discipline using movement that developed from military obstacle course training. Practitioners, called tracers or traceurs, aim to get from one point to another in a complex environment, without assistive equipment and in the fastest and most efficient way possible.",,,
,Artistic gymnastics,"Artistic gymnastics is a discipline of gymnastics in which athletes perform short routines (ranging from about 30 to 90 seconds) on different apparatuses, with less time for vaulting.",,,
,Slacklining,"Slacklining refers to the act of walking, running or balancing along a suspended length of flat webbing that is tensioned between two anchors. Slacklining is similar to slack rope walking and tightrope walking. Slacklines differ from tightwires and tightropes in the type of material used and the amount of tension applied during use.",,,
,Water polo,"Water polo is a competitive team sport played in water between two teams. The game consists of four quarters in which the two teams attempt to score goals by throwing the ball into the opposing team's goal. The team with the most goals at the end of the game wins the match. Each team is made up of six field players and one goalkeeper. Excluding the goalkeeper, players participate in both offensive and defensive roles. Water polo is typically played in an all-deep pool so that players cannot touch the bottom.",,,
,Handball,"Handball (also known as team handball, European handball or Olympic handball) is a team sport in which two teams of seven players each (six outcourt players and a goalkeeper) pass a ball using their hands with the aim of throwing it into the goal of the other team. A standard match consists of two periods of 30 minutes, and the team that scores more goals wins.",,,
,Hunting,"Hunting is the practice of seeking, pursuing and capturing or killing wild animals. Hunting wildlife or feral animals is most commonly done by humans for meat, recreation, to remove predators that can be dangerous to humans or domestic animals, to remove pests that destroy crops or kill livestock, or for trade. Many non-human species also hunt - see predation.",,,
,Curling,"Curling is a sport in which players slide stones on a sheet of ice toward a target area which is segmented into four concentric circles. It is related to bowls, boules and shuffleboard. Two teams, each with four players, take turns sliding heavy, polished granite stones, also called rocks, across the ice curling sheet toward the house, a circular target marked on the ice.",,,
,Figure skating,"Figure skating is a sport in which individuals, pairs, or groups perform on figure skates on ice.",,,
,Ice hockey,"Ice hockey is a contact team sport played on ice, usually in a rink, in which two teams of skaters use their sticks to shoot a vulcanized rubber puck into their opponent's net to score goals. The sport is known to be fast-paced and physical, with teams usually fielding six players at a time: one goaltender, and five players who skate the span of the ice trying to control the puck and score goals against the opposing team.",,,
,Speed skating,Speed skating is a competitive form of ice skating in which the competitors race each other in travelling a certain distance on skates.,,,
,Parasailing,"Parasailing, also known as parascending or parakiting, is a recreational kiting activity where a person is towed behind a vehicle (usually a boat) while attached to a specially designed canopy wing that resembles a parachute, known as a parasail wing. The manned kite's moving anchor may be a car, truck, or boat. The harness attaches the pilot to the parasail, which is connected to the boat, or land vehicle, by the tow rope. The vehicle then drives off, carrying the parascender (or wing) and person into the air. If the boat is powerful enough, two or three people can parasail behind it at the same time. The parascender has little or no control over the parachute.",,,
,Hang gliding,"Hang gliding is an air sport or recreational activity in which a pilot flies a light, non-motorised foot-launched heavier-than-air aircraft called a hang glider. Most modern hang gliders are made of an aluminium alloy or composite frame covered with synthetic sailcloth to form a wing. Typically the pilot is in a harness suspended from the airframe, and controls the aircraft by shifting body weight in opposition to a control frame.",,,
,Kite Flying,Flying kites.,,,
,Amercan Football,,,,
,Running,,,,
,Squash,,,,
,Marathon,,,,
,Sailing,,,,
,Skiing,,,,
,Sledding,,,,
,Shooting sports,,,,
,Laser tag,,,,
,Paintball,,,,
,Hockey,,,,
,Lacrosse,,,,
,Polo,,,,
,Capture the flag,,,,
,Tag,,,,
,Marco Polo,,,,
,Backpacking (hiking),,,,
,,,,,
,Hiking,,,,
,Racewalking,,,,
,Walking,,,,
,Canoeing,,,,
,Kayaking,,,,
,Rowing (sport),,,,
,Backstroke,,,,
,Breaststroke,,,,
,Butterfly stroke,,,,
,Freestyle swimming,,,,
,Scuba diving,,,,
,Powerlifting,,,,
,Sports car racing,,,,
,Arm wrestling,,,,
,Thumb wrestling,,,,
,Tug-o-war,,,,
